timestamp,Active UEs
2025-03-24 11:08:07,1
2025-03-24 11:08:12,2
2025-03-24 11:08:17,3
2025-03-24 11:08:22,3
2025-03-24 11:08:27,2
2025-03-24 11:08:32,2
2025-03-24 11:08:37,3
2025-03-24 11:08:42,2
2025-03-24 11:08:47,0
2025-03-24 11:08:52,0
2025-03-24 11:08:57,3
2025-03-24 11:09:02,0
2025-03-24 11:09:07,1
2025-03-24 11:09:12,3
2025-03-24 11:09:17,0
2025-03-24 11:09:22,0
2025-03-24 11:09:27,2
2025-03-24 11:09:32,3
2025-03-24 11:09:37,2
2025-03-24 11:09:42,3
2025-03-24 11:09:47,2
2025-03-24 11:09:52,3
2025-03-24 11:09:57,2
2025-03-24 11:10:02,2
2025-03-24 11:10:07,1
2025-03-24 11:10:12,2
2025-03-24 11:10:17,2
2025-03-24 11:10:22,3
2025-03-24 11:10:27,0
2025-03-24 11:10:32,1
2025-03-24 11:10:37,0
2025-03-24 11:10:42,0
2025-03-24 11:10:47,2
2025-03-24 11:10:52,0
2025-03-24 11:10:57,2
2025-03-24 11:11:02,2
2025-03-24 11:11:07,1
2025-03-24 11:11:12,2
2025-03-24 11:11:17,2
2025-03-24 11:11:22,0
2025-03-24 11:11:27,2
2025-03-24 11:11:32,2
2025-03-24 11:11:37,3
2025-03-24 11:11:42,0
2025-03-24 11:11:47,3
2025-03-24 11:11:52,0
2025-03-24 11:11:57,2
2025-03-24 11:12:02,0
2025-03-24 11:12:07,1
2025-03-24 11:12:12,3
2025-03-24 11:12:17,3
2025-03-24 11:12:22,3
2025-03-24 11:12:27,2
2025-03-24 11:12:32,2
2025-03-24 11:12:37,0
2025-03-24 11:12:42,2
2025-03-24 11:12:47,3
2025-03-24 11:12:52,2
2025-03-24 11:12:57,3
2025-03-24 11:13:02,2
2025-03-24 11:13:07,0
2025-03-24 11:13:12,2
2025-03-24 11:13:17,3
2025-03-24 11:13:22,1
2025-03-24 11:13:27,1
2025-03-24 11:13:32,0
2025-03-24 11:13:37,3
2025-03-24 11:13:42,2
2025-03-24 11:13:47,1
2025-03-24 11:13:52,1
2025-03-24 11:13:57,3
2025-03-24 11:14:02,3
2025-03-24 11:14:07,0
2025-03-24 11:14:12,1
2025-03-24 11:14:17,3
2025-03-24 11:14:22,0
2025-03-24 11:14:27,2
2025-03-24 11:14:32,3
2025-03-24 11:14:37,2
2025-03-24 11:14:42,3
2025-03-24 11:14:47,2
2025-03-24 11:14:52,0
2025-03-24 11:14:57,1
2025-03-24 11:15:02,1
2025-03-24 11:15:07,0
2025-03-24 11:15:12,3
2025-03-24 11:15:17,0
2025-03-24 11:15:22,3
2025-03-24 11:15:27,0
2025-03-24 11:15:32,3
2025-03-24 11:15:37,0
2025-03-24 11:15:42,2
2025-03-24 11:15:47,3
2025-03-24 11:15:52,0
2025-03-24 11:15:57,2
2025-03-24 11:16:02,1
2025-03-24 11:16:07,0
2025-03-24 11:16:12,0
2025-03-24 11:16:17,0
2025-03-24 11:16:22,1
2025-03-24 11:16:27,0
2025-03-24 11:16:32,2
2025-03-24 11:16:37,1
2025-03-24 11:16:42,1
2025-03-24 11:16:47,1
2025-03-24 11:16:52,1
2025-03-24 11:16:57,0
2025-03-24 11:17:02,0
2025-03-24 11:17:07,3
2025-03-24 11:17:12,3
2025-03-24 11:17:17,3
2025-03-24 11:17:22,2
2025-03-24 11:17:27,3
2025-03-24 11:17:32,3
2025-03-24 11:17:37,3
2025-03-24 11:17:42,3
2025-03-24 11:17:47,3
2025-03-24 11:17:52,2
2025-03-24 11:17:57,0
2025-03-24 11:18:02,1
